体温,室温,アンケート,適温
23.2,19.0,1,20.0
23.1,18.9,1,19.9
23.1,18.8,1,19.8
23.0,18.7,1,19.7
23.0,18.7,1,19.7
23.0,18.7,1,19.7
23.0,18.7,1,19.7
23.0,18.7,1,19.7
23.0,18.7,1,19.7
23.0,18.7,1,19.7
22.9,18.5,1,19.5
22.7,18.3,1,19.3
22.7,18.3,1,19.3
22.7,18.3,1,19.3
22.7,18.3,1,19.3
22.6,18.2,1,19.2
22.4,18.0,1,19.0
22.3,17.9,1,18.9
22.2,17.8,1,18.8
22.2,17.8,1,18.8
22.1,17.7,1,18.7
22.1,17.7,1,18.7
22.1,17.7,1,18.7
22.2,17.8,2,19.8
22.2,17.8,2,19.8
22.1,17.7,2,19.7
22.0,17.6,2,19.6
22.0,17.5,2,19.5
22.0,17.6,2,19.6
22.1,17.7,2,19.7
22.0,17.6,2,19.6
21.9,17.4,2,19.4
21.7,17.2,2,19.2
21.6,17.1,2,19.1
21.6,17.1,2,19.1
21.6,17.1,2,19.1
21.6,17.1,2,19.1
21.6,17.1,2,19.1
21.5,17.0,2,19.0
21.5,17.0,2,19.0
21.5,17.0,2,19.0
21.5,17.0,2,19.0
21.4,16.9,2,18.9
21.3,16.8,2,18.8
21.2,16.7,2,18.7
21.2,16.7,2,18.7
21.1,16.5,2,18.5
21.0,16.4,2,18.4
20.9,16.3,2,18.3
20.8,16.2,2,18.2
20.8,16.1,2,18.1
20.7,16.0,2,18.0
20.7,16.0,2,18.0
20.6,15.9,2,17.9
20.6,15.9,2,17.9
20.6,15.9,2,17.9
20.6,15.9,2,17.9
